Symbol,Name,Sector
AAPL,Apple Inc.,Technology
NVDA,NVIDIA Corporation,Technology
MSFT,Microsoft Corporation,Technology
AMZN,"Amazon.com, Inc.",Consumer Cyclical
GOOGL,Alphabet Inc.,Communication Services
AVGO,Broadcom Inc.,Technology
WMT,Walmart Inc.,Consumer Defensive
LLY,Eli Lilly and Company,Healthcare
JPM,JPMorgan Chase & Co.,Financial Services
V,Visa Inc.,Financial Services
MA,Mastercard Incorporated,Financial Services
ORCL,Oracle Corporation,Technology
XOM,Exxon Mobil Corporation,Energy
UNH,UnitedHealth Group Incorporated,Healthcare
COST,Costco Wholesale Corporation,Consumer Defensive
PG,The Procter & Gamble Company,Consumer Defensive
HD,"The Home Depot, Inc.",Consumer Cyclical
NFLX,"Netflix, Inc.",Communication Services
JNJ,Johnson & Johnson,Healthcare
BAC,Bank of America Corporation,Financial Services
CRM,"Salesforce, Inc.",Technology
ABBV,AbbVie Inc.,Healthcare
KO,The Coca-Cola Company,Consumer Defensive
CVX,Chevron Corporation,Energy
MRK,"Merck & Co., Inc.",Healthcare
WFC,Wells Fargo & Company,Financial Services
CSCO,"Cisco Systems, Inc.",Technology
ACN,Accenture plc,Technology
AXP,American Express Company,Financial Services
MCD,McDonald's Corporation,Consumer Cyclical
PEP,"PepsiCo, Inc.",Consumer Defensive
IBM,International Business Machines Corporation,Technology
DIS,The Walt Disney Company,Communication Services
TMO,Thermo Fisher Scientific Inc.,Healthcare
MS,Morgan Stanley,Financial Services
ABT,Abbott Laboratories,Healthcare
ADBE,Adobe Inc.,Technology
AMD,"Advanced Micro Devices, Inc.",Technology
PM,Philip Morris International Inc.,Consumer Defensive
ISRG,"Intuitive Surgical, Inc.",Healthcare
GE,GE Aerospace,Industrials
INTU,Intuit Inc.,Technology
GS,"The Goldman Sachs Group, Inc.",Financial Services
CAT,Caterpillar Inc.,Industrials
TXN,Texas Instruments Incorporated,Technology
QCOM,QUALCOMM Incorporated,Technology
VZ,Verizon Communications Inc.,Communication Services
T,AT&T Inc.,Communication Services
BLK,"BlackRock, Inc.",Financial Services
SPGI,S&P Global Inc.,Financial Services
PFE,Pfizer Inc.,Healthcare
HON,Honeywell International Inc.,Industrials
NEE,"NextEra Energy, Inc.",Utilities
CMCSA,Comcast Corporation,Communication Services
AMGN,Amgen Inc.,Healthcare
PGR,The Progressive Corporation,Financial Services
LOW,"Lowe's Companies, Inc.",Consumer Cyclical
SYK,Stryker Corporation,Healthcare
UNP,Union Pacific Corporation,Industrials
TJX,"The TJX Companies, Inc.",Consumer Cyclical
SCHW,The Charles Schwab Corporation,Financial Services
ETN,Eaton Corporation plc,Industrials
AMAT,"Applied Materials, Inc.",Technology
BA,The Boeing Company,Industrials
BSX,Boston Scientific Corporation,Healthcare
C,Citigroup Inc.,Financial Services
COP,ConocoPhillips,Energy
ADP,"Automatic Data Processing, Inc.",Technology
